,state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_charge,tenor_years,total_minutes,avg_price_per_min,total_calls
0,KS,128,415,382-4657,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,75.56,10,717.2,0.10535415504740658,303
1,OH,107,415,371-7191,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,59.24000000000001,8,625.2,0.09475367882277672,332
2,NJ,137,415,358-1921,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,62.290000000000006,11,539.4000000000001,0.11548016314423433,333
3,OH,84,408,375-9999,1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,66.8,7,564.8,0.11827195467422097,255
4,OK,75,415,330-6626,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,52.089999999999996,6,512.0,0.10173828124999999,359
5,AL,118,510,391-8027,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,67.61,9,654.1999999999999,0.10334760012228678,323
6,MA,121,510,355-9993,0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,78.31,10,786.8000000000001,0.09952974072191154,321
7,MO,147,415,329-9001,1,0,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,46.900000000000006,12,479.00000000000006,0.09791231732776617,275
8,LA,117,408,335-4719,0,0,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0,73.32,9,760.6000000000001,0.09639758085721796,271
9,WV,141,415,330-8173,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,80.53999999999999,11,818.2,0.0984355903202151,297
10,IN,65,415,329-6603,0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1,54.2,5,579.1000000000001,0.0935935071662925,337
11,RI,74,415,344-9403,0,0,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,57.08,6,556.2,0.1026249550521395,374
12,IA,168,408,363-1107,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,40.190000000000005,14,386.0,0.10411917098445597,297
13,MT,95,510,394-8006,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,59.64,7,608.8,0.09796320630749016,283
14,IA,62,415,366-9238,0,0,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,59.309999999999995,5,644.0,0.09209627329192546,251
15,NY,161,415,351-7269,0,0,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1,92.29,13,816.7,0.11300355087547446,301
16,ID,85,408,350-8884,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,65.02,7,580.3999999999999,0.11202618883528603,308
17,VT,93,510,386-2923,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,58.989999999999995,7,546.6,0.10792169776802048,349
